accession	mechanism
L0GCJ6	convertase
L0GCV8	convertase
L0L3V3	convertase
L0P323	convertase
L0P329	convertase
L0P3K3	convertase
L0P402	convertase
L0PIN3	unassigned
L0PJV8	unassigned
L8FSM5	zymogen_protease
L8G6I7	zymogen_protease
L8GD75	zymogen_protease
M0R8L2	convertase
M1E1F0	unassigned
M1E1F1	unassigned
M5BGS2	unassigned
M5BGY5	unassigned
M5BHN0	unassigned
M9P2C1	convertase
M9PQ91	convertase
O00230	convertase
O00253	unassigned
O00254	unassigned
O00292	unassigned
O00451	unassigned
O00526	convertase
O00585	negative_context
O00591	negative_context
O00906	unassigned
O01382	zymogen_protease
O02002	zymogen_protease
O02678	unassigned
O02686	convertase
O02840	convertase
O04057	zymogen_protease
O04500	unassigned
O04547	negative
O04795	unassigned
O04796	unassigned
O04953	negative_context
O05333	unassigned
O06350	unassigned
O06653	unassigned
O07623	unassigned
O08523	unassigned
O08524	unassigned
O08529	zymogen_protease
O08542	unassigned
O08543	unassigned
O08545	unassigned
O08602	unassigned
O08603	unassigned
O08604	unassigned
O08619	zymogen_protease
O08675	unassigned
O08677	negative
O08738	zymogen_protease
O08842	unassigned
O08957	unassigned
O09037	unassigned
O09049	unassigned
O09051	unassigned
O09061	unassigned
O09164	unassigned
O09209	convertase
O09210	convertase
O12956	convertase
O13009	unassigned
O13035	convertase
O13057	zymogen_protease
O13058	zymogen_protease
O13059	zymogen_protease
O13060	unassigned
O13061	zymogen_protease
O13062	zymogen_protease
O13063	zymogen_protease
O13065	zymogen_protease
O13069	zymogen_protease
O13156	unassigned
O13157	unassigned
O13318	unassigned
O13340	convertase
O13351	unassigned
O13368	unassigned
O13547	unassigned
O13692	unassigned
O13960	unassigned
O14113	unassigned
O14124	negative_context
O14668	unassigned
O14669	unassigned
O14798	unassigned
O14944	unassigned
O15130	convertase
O15240	negative
O15496	convertase
O15823	unassigned
O15825	unassigned
O15980	negative
O15981	negative
O15982	negative
O16137	convertase
O16846	convertase
O17264	convertase
O17512	convertase
O17513	convertase
O18330	negative
O18492	unassigned
O18493	unassigned
O18494	unassigned
O18495	unassigned
O18496	unassigned
O18641	convertase
O18733	zymogen_protease
O18754	unassigned
O18767	zymogen_protease
O18783	zymogen_protease
O18794	unassigned
O18811	negative
O18823	zymogen_protease
O18845	negative
O18927	zymogen_protease
O18979	negative
O19015	zymogen_protease
O19045	convertase
O19073	unassigned
O19895	unassigned
O22126	unassigned
O22194	unassigned
O22415	negative
O22882	unassigned
O23006	unassigned
O23262	unassigned
O23357	zymogen_protease
O23710	zymogen_protease
O23717	zymogen_protease
O23791	zymogen_protease
O24006	convertase
O24325	zymogen_protease
O24326	zymogen_protease
O24361	zymogen_protease
O24565	negative
O24567	negative
O24602	negative
O24618	negative
O25728	negative_context
O26742	unassigned
O27270	zymogen_protease
O29207	unassigned
O29208	unassigned
O30565	negative_context
O31000	negative_context
O31216	negative_context
O31422	unassigned
O31492	unassigned
O31840	unassigned
O32025	unassigned
O32295	unassigned
O32388	unassigned
O32389	unassigned
O32390	unassigned
O33666	unassigned
O33668	unassigned
O33672	unassigned
O33675	unassigned
O33689	unassigned
O33690	unassigned
O33702	unassigned
O35090	convertase
O35118	unassigned
O35136	negative_context
O35186	zymogen_protease
O35298	zymogen_protease
O35314	negative
O35397	zymogen_protease
O35521	zymogen_protease
O35522	zymogen_protease
O35523	zymogen_protease
O35524	zymogen_protease
O35548	convertase
O35632	unassigned
O35744	negative_context
O35902	convertase
O35955	zymogen_protease
O35975	unassigned
O41515	unassigned
O42207	zymogen_protease
O42241	negative
O42364	unassigned
O42471	negative
O42493	negative
O42499	negative
O42630	zymogen_protease
O42717	unassigned
O42809	convertase
O42824	unassigned
O42918	unassigned
O43063	zymogen_protease
O43169	unassigned
O43280	unassigned
O43555	negative
O43612	convertase
O43653	unassigned
O43692	unassigned
O43895	zymogen_protease
O43921	unassigned
O44185	convertase
O44314	convertase
O44516	unassigned
O44662	negative
O44663	negative
O44664	negative
O44665	negative
O44836	convertase
O46028	unassigned
O46162	negative
O46390	unassigned
O46403	unassigned
O46427	zymogen_protease
O46501	unassigned
O46540	unassigned
O46541	negative
O46542	unassigned
O46644	zymogen_protease
O46688	convertase
O47881	unassigned
O48915	unassigned
O49320	unassigned
O49347	unassigned
O49519	negative
O49545	negative_context
O49586	unassigned
O49644	unassigned
O49645	unassigned
O50110	zymogen_protease
O50917	negative_context
O53859	negative_context
O54329	unassigned
O54713	negative
O54732	convertase
O54766	convertase
O54767	convertase
O54800	convertase
O54861	convertase
O55111	convertase
O55123	zymogen_protease
O55162	unassigned
O55183	unassigned
O55186	unassigned
O55232	convertase
O55234	zymogen_protease
O55241	convertase
O57312	negative
O57979	unassigned
O57983	zymogen_protease
O59859	unassigned
O59893	convertase
O59952	convertase
O60020	convertase
O60087	unassigned
O60494	convertase
O60609	unassigned
O60882	zymogen_protease
O60911	zymogen_protease
O61016	unassigned
O61271	convertase
O61466	convertase
O61704	unassigned
O62643	unassigned
O62647	convertase
O62680	unassigned
O62806	zymogen_protease
O62820	negative
O62827	convertase
O64864	unassigned
O64865	unassigned
O65351	zymogen_protease
O65390	zymogen_protease
O65399	unassigned
O65482	negative_context
O66602	negative_context
O67998	negative_context
O68586	unassigned
O69773	negative_context
O70138	zymogen_protease
O70244	convertase
O73727	convertase
O73797	convertase
O73800	zymogen_protease
O73811	negative
O73812	negative
O74213	convertase
O74302	negative
O74623	unassigned
O74703	unassigned
O74922	unassigned
O75003	unassigned
O75015	unassigned
O75326	unassigned
O75443	unassigned
O75487	unassigned
O75610	unassigned
O75882	unassigned
O75900	convertase
O76145	convertase
O76198	unassigned
O76199	unassigned
O76200	unassigned
O76201	unassigned
O76818	convertase
O76856	zymogen_protease
O77150	unassigned
O77220	negative
O77248	convertase
O77256	convertase
O77541	unassigned
O77559	convertase
O77656	zymogen_protease
O77668	convertase
O77742	unassigned
O77801	convertase
O78426	unassigned
O78446	unassigned
O78504	unassigned
O80517	unassigned
O81003	unassigned
O81277	unassigned
O82081	unassigned
O82083	unassigned
O82227	unassigned
O82337	unassigned
O82549	unassigned
O82777	convertase
O83475	negative_context
O87236	unassigned
O87237	unassigned
O88038	unassigned
O88272	convertase
O88307	convertase
O88310	unassigned
O88452	negative_context
O88507	unassigned
O88634	unassigned
O88676	convertase
O88766	zymogen_protease
O88875	unassigned
O88947	convertase
O89051	negative
O89094	zymogen_protease
O89117	unassigned
O93221	convertase
O93225	convertase
O93319	convertase
O93428	zymogen_protease
O93448	negative
O93451	convertase
O93452	convertase
O93455	convertase
O93456	convertase
O93464	convertase
O93512	unassigned
O93718	unassigned
O93719	unassigned
O93885	zymogen_protease
O94183	unassigned
O94272	unassigned
O94549	unassigned
O94753	zymogen_protease
O94772	unassigned
O94779	unassigned
O95274	unassigned
O95399	convertase
O95428	negative_context
O95467	negative
O95497	unassigned
O95498	unassigned
O95760	unassigned
O95831	unassigned
O95867	unassigned
O95868	unassigned
O95969	negative_context
O95971	unassigned
O95980	unassigned
O96009	zymogen_protease
O96014	negative_context
O96049	unassigned
O96447	unassigned
O96690	negative
O96812	unassigned
O97370	zymogen_protease
O97374	unassigned
O97383	negative
O97384	negative
O97385	negative
O97386	negative
O97387	negative
O97395	unassigned
O97398	zymogen_protease
O97399	zymogen_protease
O97490	unassigned
O97655	negative
O97686	negative
O97687	unassigned
O97937	convertase
O97946	unassigned
O97980	negative
O98733	unassigned
O98736	unassigned
P00096	unassigned
P00273	negative
P00410	unassigned
P00433	unassigned
P00488	zymogen_protease
P00497	unassigned
P00590	unassigned
P00592	zymogen_protease
P00593	zymogen_protease
P00596	unassigned
P00597	unassigned
P00598	unassigned
P00606	unassigned
P00611	unassigned
P00617	unassigned
P00618	unassigned
P00619	unassigned
P00629	unassigned
P00630	unassigned
P00644	zymogen_protease
P00648	unassigned
P00649	unassigned
P00691	unassigned
P00729	zymogen_protease
P00730	zymogen_protease
P00731	zymogen_protease
P00732	zymogen_protease
P00734	convertase
P00735	convertase
P00740	convertase
P00741	zymogen_protease
P00742	convertase
P00743	convertase
P00746	zymogen_protease
P00747	convertase
P00752	zymogen_protease
P00755	zymogen_protease
P00756	zymogen_protease
P00758	zymogen_protease
P00759	zymogen_protease
P00760	zymogen_protease
P00761	zymogen_protease
P00762	zymogen_protease
P00763	zymogen_protease
P00764	zymogen_protease
P00772	zymogen_protease
P00773	zymogen_protease
P00774	zymogen_protease
P00776	zymogen_protease
P00777	zymogen_protease
P00780	zymogen_protease
P00782	zymogen_protease
P00783	zymogen_protease
P00786	zymogen_protease
P00787	zymogen_protease
P00791	zymogen_protease
P00792	zymogen_protease
P00793	zymogen_protease
P00794	zymogen_protease
P00795	zymogen_protease
P00796	convertase
P00797	convertase
P00799	zymogen_protease
P00852	unassigned
P00854	unassigned
P00974	unassigned
P00991	unassigned
P01009	negative
P01015	negative
P01017	negative
P01019	negative
P01024	negative
P01025	negative
P01026	negative
P01027	negative
P01042	negative
P01044	negative
P01045	negative
P01048	negative
P01055	unassigned
P01063	unassigned
P01064	unassigned
P01068	unassigned
P01070	unassigned
P01076	unassigned
P01088	unassigned
P01127	convertase
P01134	unassigned
P01135	unassigned
P01146	negative
P01148	negative
P01149	convertase
P01150	negative
P01152	negative
P01156	negative
P01160	unassigned
P01161	convertase
P01165	negative
P01168	convertase
P01169	convertase
P01170	convertase
P01171	convertase
P01172	convertase
P01175	negative
P01177	negative
P01178	negative
P01179	negative
P01180	negative
P01183	negative
P01185	negative
P01186	negative
P01189	negative
P01190	convertase
P01191	convertase
P01192	convertase
P01193	convertase
P01194	negative
P01201	negative
P01210	convertase
P01211	convertase
P01212	convertase
P01222	unassigned
P01223	unassigned
P01224	unassigned
P01244	negative_context
P01252	negative
P01257	convertase
P01258	convertase
P01261	convertase
P01263	convertase
P01268	convertase
P01269	convertase
P01270	convertase
P01272	convertase
P01273	convertase
P01274	convertase
P01275	convertase
P01278	convertase
P01282	convertase
P01283	convertase
P01286	convertase
P01289	convertase
P01297	convertase
P01298	convertase
P01299	convertase
P01302	negative
P01303	negative
P01307	negative
P01308	convertase
P01310	unassigned
P01311	convertase
P01313	convertase
P01314	negative
P01315	convertase
P01316	negative
P01317	convertase
P01318	convertase
P01319	negative
P01320	negative
P01321	convertase
P01322	convertase
P01323	convertase
P01324	negative
P01325	convertase
P01326	convertase
P01327	unassigned
P01328	negative
P01329	convertase
P01330	negative
P01331	negative
P01333	unassigned
P01334	negative
P01335	convertase
P01336	negative
P01338	negative
P01339	negative
P01340	negative
P01342	convertase
P01344	convertase
P01346	convertase
P01350	convertase
P01351	convertase
P01352	convertase
P01353	convertase
P01354	convertase
P01355	convertase
P01356	convertase
P01360	convertase
P01361	convertase
P01362	convertase
P01364	negative
P01376	unassigned
P01377	unassigned
P01491	negative
P01492	negative
P01493	negative
P01494	negative
P01496	negative
P01499	negative
P01500	negative
P01501	unassigned
P01512	convertase
P01513	convertase
P01522	unassigned
P01523	convertase
P01538	unassigned
P01543	unassigned
P01545	unassigned
P01558	unassigned
P01559	unassigned
P01579	convertase
P01759	negative_context
P01830	unassigned
P01831	unassigned
P01921	negative_context
P01923	negative
P01924	negative
P01926	negative
P01928	negative
P01929	negative
P01930	negative
P01932	negative
P01933	negative
P01936	negative
P01937	negative
P01938	negative
P01940	negative
P01941	negative
P01942	negative
P01943	negative
P01944	negative
P01945	negative
P01946	negative
P01947	negative
P01949	negative
P01950	negative
P01951	negative
P01953	negative
P01954	negative
P01955	negative
P01956	negative
P01957	negative
P01958	negative
P01959	negative
P01960	negative
P01963	negative
P01964	negative
P01965	negative
P01966	negative
P01969	negative
P01971	negative
P01973	negative
P01975	negative
P01976	negative
P01979	negative
P02070	negative
P02331	negative
P02332	negative
P02333	negative
P02334	negative
P02545	unassigned
P02592	unassigned
P02662	negative
P02663	negative
P02666	negative
P02668	negative
P02671	negative
P02672	negative
P02675	negative
P02676	negative
P02681	negative
P02702	unassigned
P02703	unassigned
P02745	negative_context
P02747	negative_context
P02765	unassigned
P02768	convertase
P02769	convertase
P02770	convertase
P02788	negative
P02807	negative
P02814	negative
P02818	convertase
P02820	convertase
P02822	convertase
P02852	unassigned
P02866	unassigned
P02870	unassigned
P02873	unassigned
P02876	unassigned
P02877	unassigned
P02879	unassigned
P02883	unassigned
P02884	unassigned
P02893	unassigned
P02894	unassigned
P02896	unassigned
P02945	unassigned
P02947	unassigned
P02956	unassigned
P02957	unassigned
P03953	zymogen_protease
P03954	zymogen_protease
P03956	zymogen_protease
P03957	zymogen_protease
P03969	unassigned
P03994	unassigned
P03997	negative
P03998	negative
P04002	unassigned
P04004	negative
P04054	zymogen_protease
P04055	zymogen_protease
P04058	unassigned
P04070	convertase
P04071	zymogen_protease
P04073	zymogen_protease
P04083	negative
P04085	convertase
P04089	convertase
P04094	convertase
P04118	unassigned
P04123	unassigned
P04124	unassigned
P04156	unassigned
P04166	unassigned
P04185	negative_context
P04189	zymogen_protease
P04204	convertase
P04205	unassigned
P04216	unassigned
P04233	negative
P04237	negative
P04273	unassigned
P04279	negative
P04441	negative
P04563	convertase
P04640	convertase
P04652	unassigned
P04667	convertase
P04737	unassigned
P04759	negative_context
P04814	zymogen_protease
P04815	unassigned
P04836	convertase
P04917	unassigned
P04922	unassigned
P04925	unassigned
P04929	unassigned
P04932	unassigned
P04933	unassigned
P04934	unassigned
P04963	convertase
P04971	zymogen_protease
P04988	zymogen_protease
P04996	unassigned
P04997	unassigned
P04998	unassigned
P04999	unassigned
P05017	unassigned
P05019	unassigned
P05025	unassigned
P05059	negative
P05060	negative
P05067	negative
P05110	convertase
P05117	unassigned
P05118	unassigned
P05125	convertase
P05140	unassigned
P05142	negative_context
P05154	unassigned
P05161	unassigned
P05164	unassigned
P05186	unassigned
P05187	unassigned
P05208	zymogen_protease
P05230	unassigned
P05315	unassigned
P05337	unassigned
P05408	negative
P05422	convertase
P05484	unassigned
P05486	unassigned
P05516	unassigned
P05533	unassigned
P05539	unassigned
P05620	zymogen_protease
P05657	unassigned
P05689	zymogen_protease
P05805	unassigned
P05834	unassigned
P05995	convertase
P06003	unassigned
P06004	unassigned
P06014	unassigned
P06015	unassigned
P06026	zymogen_protease
P06126	negative_context
P06181	convertase
P06207	negative_context
P06215	unassigned
P06222	unassigned
P06281	zymogen_protease
P06298	convertase
P06299	convertase
P06302	negative
P06303	negative
P06306	convertase
P06307	convertase
P06308	convertase
P06399	negative
P06402	unassigned
P06413	unassigned
P06414	unassigned
P06454	negative
P06575	unassigned
P06585	unassigned
P06596	zymogen_protease
P06635	negative
P06648	negative
P06731	unassigned
P06750	unassigned
P06767	convertase
P06811	unassigned
P06865	zymogen_protease
P06867	convertase
P06868	convertase
P06870	zymogen_protease
P06871	zymogen_protease
P06872	zymogen_protease
P06873	zymogen_protease
P06875	zymogen_protease
P06883	convertase
P06908	negative_context
P06914	unassigned
P06915	unassigned
P07056	unassigned
P07063	unassigned
P07095	unassigned
P07140	unassigned
P07146	zymogen_protease
P07150	negative
P07152	zymogen_protease
P07164	unassigned
P07198	convertase
P07208	unassigned
P07224	convertase
P07225	convertase
P07231	convertase
P07267	zymogen_protease
P07268	zymogen_protease
P07288	zymogen_protease
P07339	zymogen_protease
P07354	unassigned
P07357	convertase
P07358	unassigned
P07403	negative
P07405	negative
P07414	negative
P07419	negative
P07421	negative
P07425	negative
P07453	negative
P07455	unassigned
P07456	convertase
P07466	unassigned
P07467	unassigned
P07469	unassigned
P07477	zymogen_protease
P07478	zymogen_protease
P07480	convertase
P07490	negative
P07492	convertase
P07499	unassigned
P07500	unassigned
P07501	unassigned
P07519	zymogen_protease
P07585	unassigned
P07593	unassigned
P07602	unassigned
P07628	zymogen_protease
P07634	negative
P07640	unassigned
P07647	zymogen_protease
P07660	convertase
P07662	zymogen_protease
P07686	zymogen_protease
P07692	unassigned
P07712	negative
P07724	convertase
P07753	unassigned
P07808	negative
P07826	unassigned
P07835	unassigned
P07858	zymogen_protease
P07911	unassigned
P07941	zymogen_protease
P07965	unassigned
P07987	unassigned
P08001	zymogen_protease
P08021	convertase
P08025	unassigned
P08067	unassigned
P08136	unassigned
P08145	negative
P08146	negative
P08147	negative
P08148	zymogen_protease
P08162	negative
P08174	unassigned
P08176	zymogen_protease
P08217	zymogen_protease
P08218	zymogen_protease
P08252	unassigned
P08253	zymogen_protease
P08254	zymogen_protease
P08289	unassigned
P08306	unassigned
P08307	unassigned
P08372	unassigned
P08379	negative
P08405	negative
P08419	zymogen_protease
P08424	convertase
P08426	zymogen_protease
P08435	convertase
P08454	unassigned
P08459	unassigned
P08469	unassigned
P08493	unassigned
P08569	unassigned
P08571	unassigned
P08582	unassigned
P08592	negative
P08640	unassigned
P08672	unassigned
P08673	unassigned
P08674	unassigned
P08675	unassigned
P08676	unassigned
P08677	unassigned
P08697	unassigned
P08709	convertase
P08759	convertase
P08772	unassigned
P08796	unassigned
P08818	zymogen_protease
P08819	zymogen_protease
P08835	convertase
P08852	negative
P08858	convertase
P08861	zymogen_protease
P08872	unassigned
P08873	unassigned
P08897	zymogen_protease
P08932	negative
P08934	negative
P08947	convertase
P08948	convertase
P08949	convertase
P08950	convertase
P08989	convertase
P09031	unassigned
P09040	convertase
P09093	zymogen_protease
P09166	unassigned
P09167	unassigned
P09177	zymogen_protease
P09221	unassigned
P09237	zymogen_protease
P09238	zymogen_protease
P09240	convertase
P09242	unassigned
P09326	unassigned
P09420	negative
P09476	negative
P09477	negative
P09487	unassigned
P09535	convertase
P09581	negative_context
P09582	zymogen_protease
P09598	zymogen_protease
P09617	unassigned
P09618	unassigned
P09646	unassigned
P09668	zymogen_protease
P09681	convertase
P09683	convertase
P09752	unassigned
P09791	unassigned
P09805	convertase
P09831	zymogen_protease
P09839	negative
P09859	convertase
P09870	zymogen_protease
P09892	unassigned
P09893	unassigned
P09904	negative
P09906	negative
P09908	negative
P09916	convertase
P09923	unassigned
P09928	unassigned
P09929	negative
P09954	zymogen_protease
P09955	zymogen_protease
P09958	convertase
P09971	convertase
P09989	unassigned
P0A1D7	zymogen_protease
P0A1D8	zymogen_protease
P0A310	unassigned
P0A311	unassigned
P0A312	unassigned
P0A313	unassigned
P0A379	unassigned
P0A380	unassigned
P0A381	unassigned
P0A3Z7	zymogen_protease
P0A3Z8	zymogen_protease
P0A444	unassigned
P0A445	unassigned
P0A446	unassigned
P0A447	unassigned
P0A4M3	unassigned
P0A5P9	unassigned
P0A6G7	zymogen_protease
P0A6G8	zymogen_protease
P0A6G9	zymogen_protease
P0ABF1	unassigned
P0ABZ7	negative_context
P0ACE0	unassigned
P0ACE1	unassigned
P0ACE2	unassigned
P0AD68	zymogen_protease
P0AD69	zymogen_protease
P0ADA4	negative_context
P0C075	unassigned
P0C0H8	unassigned
P0C0H9	unassigned
P0C0P5	convertase
P0C0P6	convertase
P0C0P7	convertase
P0C0P8	convertase
P0C0Q1	zymogen_protease
P0C0Q2	zymogen_protease
P0C157	unassigned
P0C158	unassigned
P0C171	convertase
P0C172	convertase
P0C174	unassigned
P0C175	unassigned
P0C176	unassigned
P0C1M0	negative
P0C1N1	convertase
P0C1N2	unassigned
P0C1N3	unassigned
P0C1N4	unassigned
P0C1N5	unassigned
P0C1N6	convertase
P0C1N7	convertase
P0C1N8	convertase
P0C1Q6	unassigned
P0C1T5	unassigned
P0C1T6	convertase
P0C1U8	zymogen_protease
P0C1V5	unassigned
P0C1V6	unassigned
P0C1V9	unassigned
P0C1W3	unassigned
P0C1W4	unassigned
P0C1W5	unassigned
P0C1W6	unassigned
P0C1X1	unassigned
P0C1Y2	unassigned
P0C201	convertase
P0C202	convertase
P0C236	negative
P0C247	unassigned
P0C248	unassigned
P0C250	unassigned
P0C251	convertase
P0C253	convertase
P0C254	convertase
P0C258	convertase
P0C2B0	unassigned
P0C2B1	unassigned
P0C2E5	zymogen_protease
P0C2F3	negative
P0C2I4	negative
P0C2I8	negative
P0C2J2	negative
P0C2J4	negative
P0C2J6	negative
P0C2L5	convertase
P0C2L6	unassigned
P0C2S6	unassigned
P0C2S7	unassigned
P0C2S8	unassigned
P0C2X7	unassigned
P0C365	unassigned
P0C366	unassigned
P0C367	unassigned
P0C408	unassigned
P0C409	unassigned
P0C410	unassigned
P0C425	unassigned
P0C432	unassigned
P0C433	unassigned
P0C434	unassigned
P0C5B4	zymogen_protease
P0C5F2	unassigned
P0C5W7	convertase
P0C5X7	unassigned
P0C607	unassigned
P0C636	unassigned
P0C637	unassigned
P0C638	unassigned
P0C639	unassigned
P0C640	unassigned
P0C641	convertase
P0C666	unassigned
P0C667	convertase
P0C668	convertase
P0C669	unassigned
P0C670	unassigned
P0C7I1	convertase
P0C7S9	unassigned
P0C7T4	negative
P0C828	unassigned
P0C829	unassigned
P0C831	unassigned
P0C833	convertase
P0C834	unassigned
P0C837	unassigned
P0C845	unassigned
P0C846	unassigned
P0C847	unassigned
P0C848	unassigned
P0C850	unassigned
P0C887	negative_context
P0C8A3	unassigned
P0C8A4	convertase
P0C8A5	convertase
P0C8E3	unassigned
P0C8P8	unassigned
P0C8P9	unassigned
P0C8S5	unassigned
P0C8U4	unassigned
P0C8U6	unassigned
P0C8U7	unassigned
P0C8V0	unassigned
P0C8V1	unassigned
P0C8V5	convertase
P0C8V6	convertase
P0C8V7	convertase
P0C8V8	unassigned
P0C8V9	unassigned
P0C8W0	convertase
P0C8W1	convertase
P0C8W2	convertase
P0C8W4	unassigned
P0C8X8	negative
P0C8X9	convertase
P0C901	unassigned
P0C902	unassigned
P0C903	unassigned
P0C904	unassigned
P0C905	unassigned
P0C906	convertase
P0C907	convertase
P0C940	unassigned
P0C954	unassigned
P0C955	unassigned
P0C956	unassigned
P0C957	unassigned
P0C958	unassigned
P0CAQ4	convertase
P0CAQ5	convertase
P0CAQ6	unassigned
P0CAX4	convertase
P0CAZ2	unassigned
P0CAZ3	unassigned
P0CAZ4	unassigned
P0CAZ5	unassigned
P0CAZ6	unassigned
P0CAZ7	unassigned
P0CAZ9	unassigned
P0CB07	unassigned
P0CB08	unassigned
P0CB09	convertase
P0CB10	convertase
P0CB11	convertase
P0CB12	convertase
P0CB20	unassigned
P0CC04	unassigned
P0CC19	unassigned
P0CE24	unassigned
P0CE25	unassigned
P0CE26	unassigned
P0CE27	unassigned
P0CE28	unassigned
P0CE29	unassigned
P0CE30	unassigned
P0CE31	unassigned
P0CE32	unassigned
P0CE33	unassigned
P0CE34	unassigned
P0CE35	unassigned
P0CE36	unassigned
P0CE73	unassigned
P0CE75	unassigned
P0CE76	unassigned
P0CE79	zymogen_protease
P0CE80	zymogen_protease
P0CE81	zymogen_protease
P0CE83	zymogen_protease
P0CG03	zymogen_protease
P0CG37	unassigned
P0CG46	unassigned
P0CG54	unassigned
P0CH14	convertase
P0CH25	negative
P0CH26	negative
P0CH28	unassigned
P0CH45	convertase
P0CH46	convertase
P0CH47	unassigned
P0CH50	negative
P0CH56	unassigned
P0CH57	negative
P0CH90	convertase
P0CI13	convertase
P0CI14	convertase
P0CI42	unassigned
P0CI49	unassigned
P0CI58	negative
P0CI89	convertase
P0CI90	convertase
P0CI91	unassigned
P0CI92	unassigned
P0CJ11	convertase
P0CJ21	convertase
P0CJ41	zymogen_protease
P0CJ45	unassigned
P0CJ57	negative_context
P0CO54	unassigned
P0CO55	unassigned
P0CP28	unassigned
P0CP29	unassigned
P0CP76	convertase
P0CP77	convertase
P0CS83	convertase
P0CS93	unassigned
P0CU33	zymogen_protease
P0CU38	unassigned
P0CU54	zymogen_protease
P0CU55	zymogen_protease
P0CU58	unassigned
P0CU61	unassigned
P0CU62	unassigned
P0CU63	unassigned
P0CU64	unassigned
P0CU65	unassigned
P0CV07	negative_context
P0CV23	negative_context
P0CW02	unassigned
P0CW03	unassigned
P0CX18	unassigned
P0CX19	unassigned
P0CX57	negative
P0CX58	negative
P0CX59	negative
P0CX60	negative
P0CX61	negative
P0CX62	negative
P0CX65	negative
P0CX66	negative
P0CX67	negative
P0CX68	negative
P0CX69	negative
P0CX70	negative
P0CX71	negative
P0CX72	negative
P0CX73	negative
P0CX74	negative
P0CX75	negative
P0CX76	negative
P0CX80	unassigned
P0CX81	unassigned
P0CY26	convertase
P0CY27	convertase
P0CY28	convertase
P0CY29	convertase
P0CY50	unassigned
P0CY51	unassigned
P0CY60	unassigned
P0CY61	unassigned
P0CY62	unassigned
P0CY63	unassigned
P0CY64	unassigned
P0CY65	convertase
P0CY73	unassigned
P0CY75	unassigned
P0CY78	unassigned
P0CY79	unassigned
P0CY80	unassigned
P0CY83	unassigned
P0CY84	unassigned
P0CY86	unassigned
P0CY87	unassigned
P0CY88	unassigned
P0CZ18	unassigned
P0DE28	unassigned
P0DE29	unassigned
P0DJ02	convertase
P0DJ03	convertase
P0DJ06	convertase
P0DJ08	unassigned
P0DJ33	unassigned
P0DJ34	convertase
P0DJ36	unassigned
P0DJ37	unassigned
P0DJ38	unassigned
P0DJ39	unassigned
P0DJ40	unassigned
P0DJ41	convertase
P0DJ46	negative_context
P0DJ64	unassigned
P0DJ65	unassigned
P0DJ67	unassigned
P0DJ68	unassigned
P0DJ70	unassigned
P0DJ71	unassigned
P0DJ72	unassigned
P0DJ73	unassigned
P0DJ75	unassigned
P0DJ76	unassigned
P0DJ78	unassigned
P0DJ79	unassigned
P0DJ80	unassigned
P0DJ81	unassigned
P0DJ82	unassigned
P0DJ84	unassigned
P0DJ85	unassigned
P0DJA9	unassigned
P0DJC4	convertase
P0DJC5	convertase
P0DJC6	convertase
P0DJC7	convertase
P0DJD7	zymogen_protease
P0DJD8	zymogen_protease
P0DJD9	zymogen_protease
P0DJF5	zymogen_protease
P0DJF6	zymogen_protease
P0DJI8	unassigned
P0DJK0	convertase
P0DJK1	convertase
P0DJO3	convertase
P0DJO4	convertase
P0DJQ9	zymogen_protease
P0DKL3	unassigned
P0DKL8	unassigned
P0DKM1	convertase
P0DKM2	unassigned
P0DKM3	unassigned
P0DKN0	unassigned
P0DKN1	unassigned
P0DKP5	unassigned
P0DKP6	unassigned
P0DKP7	unassigned
P0DKP9	convertase
P0DKQ0	convertase
P0DKQ1	convertase
P0DKQ2	convertase
P0DKQ3	unassigned
P0DKQ5	unassigned
P0DKQ6	unassigned
P0DKQ7	convertase
P0DKQ9	unassigned
P0DKU2	convertase
P0DKY9	unassigned
P0DL36	unassigned
P0DL37	negative
P0DL38	unassigned
P0DL49	convertase
P0DL50	convertase
P0DL51	convertase
P0DL52	convertase
P0DL53	convertase
P0DL54	convertase
P0DL55	convertase
P0DL56	convertase
P0DL57	unassigned
P0DL58	unassigned
P0DL75	unassigned
P0DL77	unassigned
P0DL78	unassigned
P0DM16	convertase
P0DM17	unassigned
P0DM18	convertase
P0DM19	convertase
P0DM20	convertase
P0DM21	unassigned
P0DM23	unassigned
P0DM26	convertase
P0DM27	convertase
P0DM30	convertase
P0DM34	convertase
P0DM55	unassigned
P0DM66	unassigned
P0DM67	unassigned
P0DM68	unassigned
P0DM69	unassigned
P0DMB4	unassigned
P0DMB5	unassigned
P0DMD7	convertase
P0DMD8	unassigned
P0DMD9	unassigned
P0DME2	unassigned
P0DME3	unassigned
P0DME4	unassigned
P0DME6	convertase
P0DME7	convertase
P0DME8	convertase
P0DME9	convertase
P0DMF1	unassigned
P0DMF2	unassigned
P0DMF3	unassigned
P0DMF4	unassigned
P0DMF5	unassigned
P0DMF6	unassigned
P0DMF7	unassigned
P0DMF8	unassigned
P0DMF9	convertase
P0DMG0	unassigned
P0DMH7	unassigned
P0DMI6	zymogen_protease
P0DMI7	convertase
P0DMI8	convertase
P0DMI9	convertase
P0DMJ0	convertase
P0DMJ1	unassigned
P0DMP9	negative_context
P0DMQ0	convertase
P0DMQ1	convertase
P0DMQ2	convertase
P0DMQ3	convertase
